date,flour_type,recipe_id,allocation_pct
2020-01-01,Superior,R1,0.6
2020-01-01,Superior,R2,0.4
2020-01-01,Bakery,R2,0.5
2020-01-01,Bakery,R4,0.5
2020-01-01,Patent,R2,0.7
2020-01-01,Patent,R5,0.3
2020-01-01,Brown,R3,1.0
2020-01-01,Superior Brown,R3,1.0
2020-01-02,Superior,R1,0.6
2020-01-02,Superior,R2,0.4
2020-01-02,Bakery,R2,0.5
2020-01-02,Bakery,R4,0.5
2020-01-02,Patent,R2,0.7
2020-01-02,Patent,R5,0.3
2020-01-02,Brown,R3,1.0
2020-01-02,Superior Brown,R3,1.0
2020-01-03,Superior,R1,0.6
2020-01-03,Superior,R2,0.4
2020-01-03,Bakery,R2,0.5
2020-01-03,Bakery,R4,0.5
2020-01-03,Patent,R2,0.7
2020-01-03,Patent,R5,0.3
2020-01-03,Brown,R3,1.0
2020-01-03,Superior Brown,R3,1.0
2020-01-04,Superior,R1,0.6
2020-01-04,Superior,R2,0.4
2020-01-04,Bakery,R2,0.5
2020-01-04,Bakery,R4,0.5
2020-01-04,Patent,R2,0.7
2020-01-04,Patent,R5,0.3
2020-01-04,Brown,R3,1.0
2020-01-04,Superior Brown,R3,1.0
2020-01-05,Superior,R1,0.6
2020-01-05,Superior,R2,0.4
2020-01-05,Bakery,R2,0.5
2020-01-05,Bakery,R4,0.5
2020-01-05,Patent,R2,0.7
2020-01-05,Patent,R5,0.3
2020-01-05,Brown,R3,1.0
2020-01-05,Superior Brown,R3,1.0
2020-01-06,Superior,R1,0.6
2020-01-06,Superior,R2,0.4
2020-01-06,Bakery,R2,0.5
2020-01-06,Bakery,R4,0.5
2020-01-06,Patent,R2,0.7
2020-01-06,Patent,R5,0.3
2020-01-06,Brown,R3,1.0
2020-01-06,Superior Brown,R3,1.0
2020-01-07,Superior,R1,0.6
2020-01-07,Superior,R2,0.4
2020-01-07,Bakery,R2,0.5
2020-01-07,Bakery,R4,0.5
2020-01-07,Patent,R2,0.7
2020-01-07,Patent,R5,0.3
2020-01-07,Brown,R3,1.0
2020-01-07,Superior Brown,R3,1.0
2020-01-08,Superior,R1,0.6
2020-01-08,Superior,R2,0.4
2020-01-08,Bakery,R2,0.5
2020-01-08,Bakery,R4,0.5
2020-01-08,Patent,R2,0.7
2020-01-08,Patent,R5,0.3
2020-01-08,Brown,R3,1.0
2020-01-08,Superior Brown,R3,1.0
2020-01-09,Superior,R1,0.6
2020-01-09,Superior,R2,0.4
2020-01-09,Bakery,R2,0.5
2020-01-09,Bakery,R4,0.5
2020-01-09,Patent,R2,0.7
2020-01-09,Patent,R5,0.3
2020-01-09,Brown,R3,1.0
2020-01-09,Superior Brown,R3,1.0
2020-01-10,Superior,R1,0.6
2020-01-10,Superior,R2,0.4
2020-01-10,Bakery,R2,0.5
2020-01-10,Bakery,R4,0.5
2020-01-10,Patent,R2,0.7
2020-01-10,Patent,R5,0.3
2020-01-10,Brown,R3,1.0
2020-01-10,Superior Brown,R3,1.0
2020-01-11,Superior,R1,0.6
2020-01-11,Superior,R2,0.4
2020-01-11,Bakery,R2,0.5
2020-01-11,Bakery,R4,0.5
2020-01-11,Patent,R2,0.7
2020-01-11,Patent,R5,0.3
2020-01-11,Brown,R3,1.0
2020-01-11,Superior Brown,R3,1.0
2020-01-12,Superior,R1,0.6
2020-01-12,Superior,R2,0.4
2020-01-12,Bakery,R2,0.5
2020-01-12,Bakery,R4,0.5
2020-01-12,Patent,R2,0.7
2020-01-12,Patent,R5,0.3
2020-01-12,Brown,R3,1.0
2020-01-12,Superior Brown,R3,1.0
2020-01-13,Superior,R1,0.6
2020-01-13,Superior,R2,0.4
2020-01-13,Bakery,R2,0.5
2020-01-13,Bakery,R4,0.5
2020-01-13,Patent,R2,0.7
2020-01-13,Patent,R5,0.3
2020-01-13,Brown,R3,1.0
2020-01-13,Superior Brown,R3,1.0
2020-01-14,Superior,R1,0.6
2020-01-14,Superior,R2,0.4
2020-01-14,Bakery,R2,0.5
2020-01-14,Bakery,R4,0.5
2020-01-14,Patent,R2,0.7
2020-01-14,Patent,R5,0.3
2020-01-14,Brown,R3,1.0
2020-01-14,Superior Brown,R3,1.0
2020-01-15,Superior,R1,0.6
2020-01-15,Superior,R2,0.4
2020-01-15,Bakery,R2,0.5
2020-01-15,Bakery,R4,0.5
2020-01-15,Patent,R2,0.7
2020-01-15,Patent,R5,0.3
2020-01-15,Brown,R3,1.0
2020-01-15,Superior Brown,R3,1.0
2020-01-16,Superior,R1,0.6
2020-01-16,Superior,R2,0.4
2020-01-16,Bakery,R2,0.5
2020-01-16,Bakery,R4,0.5
2020-01-16,Patent,R2,0.7
2020-01-16,Patent,R5,0.3
2020-01-16,Brown,R3,1.0
2020-01-16,Superior Brown,R3,1.0
2020-01-17,Superior,R1,0.6
2020-01-17,Superior,R2,0.4
2020-01-17,Bakery,R2,0.5
2020-01-17,Bakery,R4,0.5
2020-01-17,Patent,R2,0.7
2020-01-17,Patent,R5,0.3
2020-01-17,Brown,R3,1.0
2020-01-17,Superior Brown,R3,1.0
2020-01-18,Superior,R1,0.6
2020-01-18,Superior,R2,0.4
2020-01-18,Bakery,R2,0.5
2020-01-18,Bakery,R4,0.5
2020-01-18,Patent,R2,0.7
2020-01-18,Patent,R5,0.3
2020-01-18,Brown,R3,1.0
2020-01-18,Superior Brown,R3,1.0
2020-01-19,Superior,R1,0.6
2020-01-19,Superior,R2,0.4
2020-01-19,Bakery,R2,0.5
2020-01-19,Bakery,R4,0.5
2020-01-19,Patent,R2,0.7
2020-01-19,Patent,R5,0.3
2020-01-19,Brown,R3,1.0
2020-01-19,Superior Brown,R3,1.0
2020-01-20,Superior,R1,0.6
2020-01-20,Superior,R2,0.4
2020-01-20,Bakery,R2,0.5
2020-01-20,Bakery,R4,0.5
2020-01-20,Patent,R2,0.7
2020-01-20,Patent,R5,0.3
2020-01-20,Brown,R3,1.0
2020-01-20,Superior Brown,R3,1.0
2020-01-21,Superior,R1,0.6
2020-01-21,Superior,R2,0.4
2020-01-21,Bakery,R2,0.5
2020-01-21,Bakery,R4,0.5
2020-01-21,Patent,R2,0.7
2020-01-21,Patent,R5,0.3
2020-01-21,Brown,R3,1.0
2020-01-21,Superior Brown,R3,1.0
2020-01-22,Superior,R1,0.6
2020-01-22,Superior,R2,0.4
2020-01-22,Bakery,R2,0.5
2020-01-22,Bakery,R4,0.5
2020-01-22,Patent,R2,0.7
2020-01-22,Patent,R5,0.3
2020-01-22,Brown,R3,1.0
2020-01-22,Superior Brown,R3,1.0
2020-01-23,Superior,R1,0.6
2020-01-23,Superior,R2,0.4
2020-01-23,Bakery,R2,0.5
2020-01-23,Bakery,R4,0.5
2020-01-23,Patent,R2,0.7
2020-01-23,Patent,R5,0.3
2020-01-23,Brown,R3,1.0
2020-01-23,Superior Brown,R3,1.0
2020-01-24,Superior,R1,0.6
2020-01-24,Superior,R2,0.4
2020-01-24,Bakery,R2,0.5
2020-01-24,Bakery,R4,0.5
2020-01-24,Patent,R2,0.7
2020-01-24,Patent,R5,0.3
2020-01-24,Brown,R3,1.0
2020-01-24,Superior Brown,R3,1.0
2020-01-25,Superior,R1,0.6
2020-01-25,Superior,R2,0.4
2020-01-25,Bakery,R2,0.5
2020-01-25,Bakery,R4,0.5
2020-01-25,Patent,R2,0.7
2020-01-25,Patent,R5,0.3
2020-01-25,Brown,R3,1.0
2020-01-25,Superior Brown,R3,1.0
2020-01-26,Superior,R1,0.6
