date,mill_id,required_hours,available_hours,overload_hours,utilization_pct
2020-01-01,M1,8.24,8,0.2400000000000002,103.0
2020-01-01,M2,8.24,8,0.2400000000000002,103.0
2020-01-01,M3,8.24,8,0.2400000000000002,103.0
2020-01-02,M1,8.62,8,0.6199999999999992,107.75
2020-01-02,M2,8.62,8,0.6199999999999992,107.75
2020-01-02,M3,8.62,8,0.6199999999999992,107.75
2020-01-03,M1,0.0,0,0.0,
2020-01-03,M2,0.0,0,0.0,
2020-01-03,M3,0.0,0,0.0,
2020-01-04,M1,0.0,0,0.0,
2020-01-04,M2,0.0,0,0.0,
2020-01-04,M3,0.0,0,0.0,
2020-01-05,M1,8.75,8,0.75,109.38
2020-01-05,M2,8.75,8,0.75,109.38
2020-01-05,M3,8.75,8,0.75,109.38
2020-01-06,M1,8.31,8,0.3100000000000005,103.88
2020-01-06,M2,8.31,8,0.3100000000000005,103.88
2020-01-06,M3,8.31,8,0.3100000000000005,103.88
2020-01-07,M1,8.32,8,0.3200000000000003,104.0
2020-01-07,M2,8.32,8,0.3200000000000003,104.0
2020-01-07,M3,8.32,8,0.3200000000000003,104.0
2020-01-08,M1,8.79,8,0.7899999999999991,109.87
2020-01-08,M2,8.79,8,0.7899999999999991,109.87
2020-01-08,M3,8.79,8,0.7899999999999991,109.87
2020-01-09,M1,8.63,8,0.6300000000000008,107.88
2020-01-09,M2,8.63,8,0.6300000000000008,107.88
2020-01-09,M3,8.63,8,0.6300000000000008,107.88
2020-01-10,M1,0.0,0,0.0,
2020-01-10,M2,0.0,0,0.0,
2020-01-10,M3,0.0,0,0.0,
2020-01-11,M1,0.0,0,0.0,
2020-01-11,M2,0.0,0,0.0,
2020-01-11,M3,0.0,0,0.0,
2020-01-12,M1,8.55,8,0.5500000000000007,106.88
2020-01-12,M2,8.55,8,0.5500000000000007,106.88
2020-01-12,M3,8.55,8,0.5500000000000007,106.88
2020-01-13,M1,8.8,8,0.8000000000000007,110.0
2020-01-13,M2,8.8,8,0.8000000000000007,110.0
2020-01-13,M3,8.8,8,0.8000000000000007,110.0
2020-01-14,M1,8.4,8,0.40000000000000036,105.0
2020-01-14,M2,8.4,8,0.40000000000000036,105.0
2020-01-14,M3,8.4,8,0.40000000000000036,105.0
2020-01-15,M1,8.46,8,0.46000000000000085,105.75
2020-01-15,M2,8.46,8,0.46000000000000085,105.75
2020-01-15,M3,8.46,8,0.46000000000000085,105.75
2020-01-16,M1,8.71,8,0.7100000000000009,108.88
2020-01-16,M2,8.71,8,0.7100000000000009,108.88
2020-01-16,M3,8.71,8,0.7100000000000009,108.88
2020-01-17,M1,0.0,0,0.0,
2020-01-17,M2,0.0,0,0.0,
2020-01-17,M3,0.0,0,0.0,
2020-01-18,M1,0.0,0,0.0,
2020-01-18,M2,0.0,0,0.0,
2020-01-18,M3,0.0,0,0.0,
2020-01-19,M1,8.8,8,0.8000000000000007,110.0
2020-01-19,M2,8.8,8,0.8000000000000007,110.0
2020-01-19,M3,8.8,8,0.8000000000000007,110.0
2020-01-20,M1,8.8,8,0.8000000000000007,110.0
2020-01-20,M2,8.8,8,0.8000000000000007,110.0
2020-01-20,M3,8.8,8,0.8000000000000007,110.0
2020-01-21,M1,8.79,8,0.7899999999999991,109.87
2020-01-21,M2,8.79,8,0.7899999999999991,109.87
2020-01-21,M3,8.79,8,0.7899999999999991,109.87
2020-01-22,M1,8.8,8,0.8000000000000007,110.0
2020-01-22,M2,8.8,8,0.8000000000000007,110.0
2020-01-22,M3,8.8,8,0.8000000000000007,110.0
2020-01-23,M1,8.59,8,0.5899999999999999,107.38
2020-01-23,M2,8.59,8,0.5899999999999999,107.38
2020-01-23,M3,8.59,8,0.5899999999999999,107.38
2020-01-24,M1,0.0,0,0.0,
2020-01-24,M2,0.0,0,0.0,
2020-01-24,M3,0.0,0,0.0,
2020-01-25,M1,0.0,0,0.0,
2020-01-25,M2,0.0,0,0.0,
2020-01-25,M3,0.0,0,0.0,
2020-01-26,M1,8.57,8,0.5700000000000003,107.12
2020-01-26,M2,8.57,8,0.5700000000000003,107.12
2020-01-26,M3,8.57,8,0.5700000000000003,107.12
2020-01-27,M1,8.72,8,0.7200000000000006,109.0
2020-01-27,M2,8.72,8,0.7200000000000006,109.0
2020-01-27,M3,8.72,8,0.7200000000000006,109.0
2020-01-28,M1,8.69,8,0.6899999999999995,108.62
2020-01-28,M2,8.69,8,0.6899999999999995,108.62
2020-01-28,M3,8.69,8,0.6899999999999995,108.62
2020-01-29,M1,8.57,8,0.5700000000000003,107.12
2020-01-29,M2,8.57,8,0.5700000000000003,107.12
